year_month,revenue,orders
2016-10,62185.82,265
2016-12,19.62,1
2017-01,178282.1,750
2017-02,327928.86,1653
2017-03,508767.44,2546
2017-04,457050.31,2303
2017-05,706474.0,3541
2017-06,589868.7,3134
2017-07,720252.2,3871
2017-08,850611.08,4193
2017-09,1003326.07,4150
2017-10,1012420.44,4478
2017-11,1559496.53,7287
2017-12,1023434.55,5513
2018-01,1383865.26,7069
2018-02,1295551.41,6554
2018-03,1441973.39,7003
2018-04,1469136.33,6798
2018-05,1481432.86,6747
2018-06,1281695.17,6093
2018-07,1309431.12,6156
2018-08,1211344.79,6351
